"StdOrder","RunOrder","CenterPt","Blocks","Material","InjPress","InjTemp","CoolTemp","Strength_1","Strength_2","Strength_3","Strength_4","Strength_5","Strength_6","Std","N"
1,9,1,1,"Formula1",75,85,25,21.3431,21.0768,22.2398,24.2131,21.0645,23.8435,1.4131,6
2,11,1,1,"Formula2",75,85,25,32.8514,34.661,34.4545,31.7531,31.2098,34.7046,1.5567,6
3,10,1,1,"Formula1",150,85,25,30.0842,27.932,26.3304,25.6785,25.6289,37.5253,4.56964,6
4,8,1,1,"Formula2",150,85,25,36.1254,35.8007,36.3693,37.0575,36.0599,36.6735,0.45648,6
5,13,1,1,"Formula1",75,100,25,25.953,27.8182,27.517,24.3241,24.4449,24.1705,1.65287,6
6,16,1,1,"Formula2",75,100,25,34.8078,33.1448,36.8069,33.1212,32.7127,35.8543,1.68119,6
7,3,1,1,"Formula1",150,100,25,32.3947,36.2992,28.5634,36.4306,32.4285,29.6503,3.26862,6
8,7,1,1,"Formula2",150,100,25,38.1821,38.4477,37.755,36.8923,37.7898,37.0415,0.61436,6
9,1,1,1,"Formula1",75,85,45,19.2189,21.018,19.1294,20.0069,18.9095,16.7888,1.40407,6
10,6,1,1,"Formula2",75,85,45,24.9666,22.0226,24.8473,24.725,22.6113,25.3912,1.40704,6
11,12,1,1,"Formula1",150,85,45,23.9604,30.247,19.8635,23.9909,23.6823,19.6317,3.85156,6
12,14,1,1,"Formula2",150,85,45,30.3459,30.1638,30.4708,30.6278,31.1139,30.1825,0.355,6
13,4,1,1,"Formula1",75,100,45,26.3614,27.9331,26.1234,24.1362,26.9922,28.8493,1.62722,6
14,2,1,1,"Formula2",75,100,45,29.3391,30.5737,30.1436,26.7988,30.4621,27.3397,1.64724,6
15,5,1,1,"Formula1",150,100,45,29.8344,28.4414,25.1384,30.7354,29.4096,31.9554,2.34315,6
16,15,1,1,"Formula2",150,100,45,37.3687,36.3314,37.7826,37.0736,36.8517,37.7113,0.55136,6
